answer_id,interview_id,question_id,question,user_answer,score,technical_accuracy,missing_concepts,suggested_improvement,ideal_answer,answered_at
ANS-20260614-012057-140740,INT-20260614-012023,Q001,What is the difference between WHERE and HAVING clauses in SQL?,where use is normal filter and having use with agrimation. ,0,Evaluation unavailable.,,,,2026-06-14T01:20:57
ANS-20260614-012645-580196,INT-20260614-012549,Q001,What is the difference between WHERE and HAVING clauses in SQL?,where condition use in filter but having use filter the with agrimation ,3,"The candidate has a very basic and partially correct intuition — WHERE is for filtering and HAVING is related to aggregation — but the answer is extremely unclear, grammatically poor, and lacks any meaningful technical detail or precision.","1) WHERE filters rows BEFORE grouping/aggregation occurs. 2) HAVING filters groups AFTER GROUP BY and aggregation. 3) HAVING is used with aggregate functions like COUNT, SUM, AVG, MAX, MIN. 4) WHERE cannot be used with aggregate functions directly. 5) The order of execution: WHERE → GROUP BY → HAVING. 6) Concrete examples demonstrating both clauses.","Practice writing complete sentences when explaining technical concepts. Learn the SQL query execution order and understand that WHERE filters individual rows before any grouping, while HAVING filters grouped results after aggregation. Try writing simple SQL queries using both clauses — for example, use WHERE to filter employees by department, then use HAVING to filter groups where COUNT(*) > 5. Also work on spelling: the word is 'aggregation', not 'agrimation'.","The WHERE clause is used to filter individual rows before any grouping or aggregation takes place. For example: SELECT department, COUNT(*) FROM employees WHERE salary > 30000 GROUP BY department. The HAVING clause is used to filter groups after the GROUP BY and aggregation have been applied, and it works with aggregate functions like COUNT, SUM, AVG. For example: SELECT department, COUNT(*) FROM employees GROUP BY department HAVING COUNT(*) > 5. In short, WHERE filters rows, HAVING filters groups. You cannot use aggregate functions in a WHERE clause.",2026-06-14T01:26:45
ANS-20260614-012755-641264,INT-20260614-012549,Q002,Write a query to find the second highest salary from an Employee table.,"SELECT MAX(salary) AS second_highest_salary
FROM Employee
WHERE salary < (
    SELECT MAX(salary)
    FROM Employee
);",8,The query is logically correct and will return the second highest salary in most cases. The approach of using a subquery to find the MAX salary excluding the overall maximum is a valid and commonly accepted solution. Syntax is proper and the alias is well-named.,"Handling of NULL values, handling duplicate salaries (the query handles this correctly actually), edge cases when there is only one distinct salary (query would return NULL), alternative approaches like LIMIT/OFFSET, DENSE_RANK(), or NOT IN with subquery","Consider adding a NULL check or explanation for edge cases where only one salary exists. Also try to learn window function alternatives like: SELECT DISTINCT salary FROM Employee ORDER BY salary DESC LIMIT 1 OFFSET 1, or using DENSE_RANK() to handle ties more explicitly. Mentioning that this handles duplicates correctly would show deeper understanding.","The candidate's approach is solid for a fresher. A strong answer would include: SELECT MAX(salary) AS second_highest_salary FROM Employee WHERE salary < (SELECT MAX(salary) FROM Employee); AND optionally mention the LIMIT/OFFSET approach: SELECT DISTINCT salary FROM Employee ORDER BY salary DESC LIMIT 1 OFFSET 1; or the window function approach: SELECT salary FROM (SELECT salary, DENSE_RANK() OVER (ORDER BY salary DESC) AS rnk FROM Employee) ranked WHERE rnk = 2 LIMIT 1; A complete answer would also note that if no second salary exists, NULL is returned, and DENSE_RANK handles ties properly.",2026-06-14T01:27:55
ANS-20260614-014413-328206,INT-20260614-014329,PY001,What is the difference between a list and a tuple in Python?,"A list is a mutable collection that can be modified after creation, whereas a tuple is an immutable collection that cannot be changed once created. Lists use square brackets [], while tuples use parentheses (). Tuples are generally faster and consume less memory than lists.",8,"The candidate correctly identified the core difference (mutability), accurate syntax representation, and mentioned performance advantages of tuples. All stated facts are correct.","Use cases for each (e.g., tuples for fixed data like coordinates or database records, lists for dynamic collections); tuple hashability allowing them to be used as dictionary keys or set elements; examples of mutability in action (append, remove for lists vs. TypeError for tuples).","Strengthen the answer by providing a brief code example demonstrating mutability difference, and mention practical use cases. For example, explain that because tuples are hashable, they can be used as dictionary keys unlike lists. Adding one real-world analogy or example would make the answer more memorable.","A list is a mutable, ordered collection defined with square brackets [], meaning you can add, remove, or change elements after creation (e.g., my_list.append(4)). A tuple is an immutable, ordered collection defined with parentheses (), meaning once created, its elements cannot be changed — attempting to do so raises a TypeError. Tuples are generally faster and use less memory than lists. A key practical difference is that tuples are hashable, so they can be used as dictionary keys or stored in sets, while lists cannot. Lists are best for dynamic data that changes frequently, while tuples are ideal for fixed data like coordinates (x, y) or returning multiple values from a function.",2026-06-14T01:44:13
ANS-20260614-014503-778883,INT-20260614-014329,PY002,How do you handle missing values in a pandas DataFrame?,"Missing values in a pandas DataFrame can be handled by either removing them using dropna() or imputing them using fillna(). Common imputation techniques include replacing missing values with the mean, median, mode, a constant value, or using forward/backward fill methods. The choice depends on the data type and business context.",8,"The answer is technically accurate and covers the two primary approaches: removal with dropna() and imputation with fillna(). Mentioning mean, median, mode, constant, and forward/backward fill demonstrates solid foundational knowledge appropriate for a fresher level.",Detection of missing values using isnull()/isna() and sum() before handling them; the inplace parameter; specifying axis in dropna(); thresh parameter in dropna(); interpolate() method; checking percentage of missing values to decide strategy; difference between NaN and None in pandas.,"Start by explaining how to first detect missing values using df.isnull().sum() before jumping to handling strategies. Also mention the thresh parameter in dropna() for keeping rows with at least N non-null values. Try to include a brief code snippet to demonstrate practical usage, e.g., df.fillna(df.mean()) or df.dropna(subset=['column_name']). This shows hands-on familiarity beyond just theoretical knowledge.","To handle missing values in pandas, I first detect them using df.isnull().sum() to understand the extent and location of missing data. Then I decide on a strategy: 1) Remove them using df.dropna(), which can drop rows or columns (axis=0/1), and supports thresh parameter to keep rows with a minimum number of non-null values. 2) Impute them using df.fillna(), where I can fill with mean (df['col'].fillna(df['col'].mean())), median, mode, a constant, or use method='ffill'/'bfill' for forward/backward fill. I also consider df.interpolate() for time-series data. The choice depends on the percentage of missing data, data type (numerical vs categorical), and business context — for example, using median for skewed data or mode for categorical columns.",2026-06-14T01:45:03
ANS-20260614-015136-643891,INT-20260614-015058,PY026,How do you fill missing values with the mean of a column?,"To fill missing values with the mean of a column in pandas, I use the fillna() method along with the column's mean(). This replaces all NaN values with the average of the non-missing values in that column, which helps retain the dataset size and is commonly used for numerical data.",7,The candidate correctly identifies the use of fillna() combined with mean() and accurately explains the purpose of filling NaN values. The conceptual understanding is sound and the reasoning about retaining dataset size is valid.,"No actual code example was provided, which is important for a practical question. Did not mention the inplace parameter or assignment back to the column. Did not mention that mean imputation may not always be ideal (e.g., for skewed data or categorical columns).","Always include a short code snippet when answering practical Python questions. For example: df['column'] = df['column'].fillna(df['column'].mean()) or using df['column'].fillna(df['column'].mean(), inplace=True). Also briefly mention when mean imputation might not be appropriate, such as for highly skewed distributions where median might be better.","To fill missing values with the mean of a column, I use the fillna() method in pandas. For example: df['column_name'] = df['column_name'].fillna(df['column_name'].mean()). This calculates the mean of all non-null values in the column and replaces every NaN with that value. You can also use inplace=True to modify the DataFrame directly without reassignment. This technique is useful for numerical columns to preserve dataset size, but if the data is skewed, using median might be a better choice. For multiple columns at once, you could use df.fillna(df.mean()) to apply it across all numeric columns.",2026-06-14T01:51:36
ANS-20260614-015204-424714,INT-20260614-015058,PY038,How do you replace specific values in a DataFrame column?,"To replace specific values in a DataFrame column, I use the replace() method. It allows me to substitute one or multiple values with new values efficiently.",5,"The candidate correctly identifies the replace() method as the primary tool for replacing values in a DataFrame column, which is accurate. However, the answer lacks any concrete demonstration or syntax example.","Actual syntax/code example of replace() usage, replacing multiple values using a dictionary, using loc[] or map() as alternatives, inplace parameter, handling NaN replacements with fillna(), regex-based replacement option","Always back up your explanation with a code snippet. Show at least one working example like: df['column'].replace(old_value, new_value) or df['column'].replace({old1: new1, old2: new2}). Also mention the inplace=True parameter to modify the DataFrame directly without reassignment.","To replace specific values in a DataFrame column, I use the replace() method. For example: df['column'].replace('old_value', 'new_value') replaces a single value. To replace multiple values at once, I can pass a dictionary: df['column'].replace({'old1': 'new1', 'old2': 'new2'}). By default, replace() returns a new Series, but using inplace=True modifies the original DataFrame directly. Alternatively, I can use df.loc[df['column'] == 'old_value', 'column'] = 'new_value' for conditional replacement. For filling missing/NaN values specifically, fillna() is more appropriate.",2026-06-14T01:52:04
ANS-20260614-015233-867195,INT-20260614-015058,PY031,What is the difference between a shallow copy and a deep copy?,"A shallow copy creates a new object, but it does not create copies of nested objects—so inner objects are still referenced. A deep copy creates a completely independent copy of the object, including all nested objects, so changes in one do not affect the other.",8,The candidate correctly explains the core difference between shallow and deep copy. The explanation is accurate — shallow copy shares references to nested objects while deep copy creates fully independent copies.,Did not mention the Python 'copy' module (copy.copy() and copy.deepcopy() functions). No mention of practical examples or use cases. Could have mentioned mutable vs immutable objects context.,Strengthen the answer by mentioning how to implement these in Python using the 'copy' module — specifically 'copy.copy()' for shallow and 'copy.deepcopy()' for deep copy. Adding a small example like a list of lists would make the answer more concrete and impressive.,"A shallow copy creates a new object but does not recursively copy nested objects — instead, it copies references to them. So if you modify a nested object in the copy, the original is also affected. A deep copy, on the other hand, creates a completely independent copy including all nested objects, so changes in one do not affect the other. In Python, we use the 'copy' module: 'copy.copy()' for shallow copy and 'copy.deepcopy()' for deep copy. For example, if you have a list of lists and use shallow copy, the inner lists are shared. With deep copy, even the inner lists are duplicated.",2026-06-14T01:52:33
ANS-20260614-015302-193218,INT-20260614-015058,PY012,How do you filter rows in a DataFrame based on a condition?,"To filter rows in a pandas DataFrame based on a condition, I use boolean indexing. I apply a condition inside square brackets, and pandas returns only the rows that satisfy it.
",6,"The candidate correctly identifies boolean indexing as the primary method for filtering rows in a pandas DataFrame, and the explanation is conceptually accurate.","No code example was provided to demonstrate the concept; did not mention alternative methods like .loc[], .query(), or .isin(); no mention of combining multiple conditions using & or | operators; did not show a concrete example with actual column names or conditions.","Always support your explanation with a short code snippet. For example, show df[df['age'] > 25] to illustrate boolean indexing. Also mention that multiple conditions can be combined using & and | operators, and briefly note the .query() method as an alternative. Showing awareness of .loc[] for label-based filtering would also strengthen the answer.","To filter rows in a pandas DataFrame, I use boolean indexing. For example, if I have a DataFrame df and want rows where age is greater than 25, I write df[df['age'] > 25]. For multiple conditions, I use & for AND and | for OR, like df[(df['age'] > 25) & (df['city'] == 'Delhi')]. I can also use .loc[] for the same purpose: df.loc[df['age'] > 25]. Another option is the .query() method: df.query('age > 25'), which is more readable for complex conditions. For checking membership, .isin() is useful, like df[df['city'].isin(['Delhi', 'Mumbai'])].",2026-06-14T01:53:02
ANS-20260614-015339-316561,INT-20260614-015058,PY022,How do you rename columns in a pandas DataFrame?,"To rename columns in a pandas DataFrame, I use the rename() method by passing a dictionary where keys are old column names and values are new column names.
df = df.rename(columns={
    'old_name': 'new_name',
    'Age': 'Customer_Age'
})",8,"The answer is technically correct. The candidate accurately describes the rename() method with a dictionary mapping old column names to new ones, and provides a valid code example.","The inplace=True parameter to modify DataFrame directly without reassignment, the option to rename using a function (e.g., str.upper()), direct column reassignment using df.columns = [...] list approach, and the axis parameter alternative syntax.","Mention the inplace=True parameter as an alternative to reassignment (df.rename(..., inplace=True)). Also briefly mention that all columns can be renamed at once by directly assigning a list to df.columns = ['col1', 'col2', ...]. This shows broader awareness of different approaches.","To rename columns in pandas, there are two common approaches. First, using the rename() method with a dictionary: df = df.rename(columns={'old_name': 'new_name', 'Age': 'Customer_Age'}). You can also use inplace=True to avoid reassignment: df.rename(columns={'old_name': 'new_name'}, inplace=True). Second, if you want to rename all columns at once, you can directly assign a list: df.columns = ['col1', 'col2', 'col3']. The rename() method is preferred when renaming specific columns as it is explicit and readable, while the direct assignment approach works well when renaming all columns simultaneously.",2026-06-14T01:53:39
ANS-20260614-015542-560008,INT-20260614-015517,PBI012,What is a data model in Power BI?,A data model in Power BI is the structure that defines how different tables in a dataset are connected and organized using relationships. It helps combine data from multiple sources and enables efficient analysis and reporting.,7,The candidate correctly identifies a data model as a structure defining table connections via relationships and mentions combining data from multiple sources for analysis. The core definition is accurate and well-phrased.,"Star schema vs snowflake schema concepts, types of relationships (one-to-many, many-to-many, one-to-one), cardinality, the role of calculated columns and measures within a model, DAX integration, and the difference between import and DirectQuery modes.","Expand the answer by mentioning relationship types (e.g., one-to-many), the common star schema pattern used in Power BI models, and how the data model enables DAX calculations. Even a brief example like linking a Sales table to a Date table would demonstrate practical understanding.","A data model in Power BI is the structured framework that defines how tables from one or more data sources are connected and organized through relationships. It allows you to combine data from multiple sources into a unified model for analysis. In Power BI, relationships are typically one-to-many and follow a star schema pattern, where a central fact table (e.g., Sales) connects to dimension tables (e.g., Date, Product, Customer). The data model also supports calculated columns and measures using DAX (Data Analysis Expressions), which enable complex calculations and aggregations. A well-designed data model improves report performance and makes it easier to build accurate, meaningful visualizations.",2026-06-14T01:55:42
ANS-20260614-015613-015931,INT-20260614-015517,PBI020,How do you publish a report to the Power BI Service?,"To publish a report to Power BI Service, I first create the report in Power BI Desktop and then use the Publish option to upload it to a workspace in Power BI Service.
",6,The candidate correctly identifies the two main steps: creating a report in Power BI Desktop and using the Publish option to upload to a workspace. The answer is technically accurate but lacks detail.,"Sign-in requirement with Microsoft/organizational account, selecting the specific destination workspace during publishing, what happens after publishing (report and dataset are uploaded separately), accessing the published report via app.powerbi.com, overwrite confirmation when republishing an existing report.","Expand the answer by mentioning that you need to be signed into Power BI Desktop with your organizational account before publishing. Also describe the step where you choose the target workspace from a dialog box, and mention that after publishing, both a report and a dataset are created in the Power BI Service. Briefly noting that you can then share or create dashboards from the published report would add good value.","To publish a report to Power BI Service, I first build and finalize the report in Power BI Desktop. Then I make sure I am signed in with my organizational Microsoft account. I click the Publish button under the Home ribbon, which opens a dialog asking me to select the destination workspace — either My Workspace or a shared team workspace. After selecting the workspace and clicking Select, Power BI uploads the report along with its underlying dataset to the Power BI Service. Once published, I can access it at app.powerbi.com, share it with others, pin visuals to dashboards, or schedule data refreshes. If I republish after making changes, Power BI will ask whether I want to overwrite the existing report.",2026-06-14T01:56:13
ANS-20260614-020242-914946,INT-20260614-020218,HR013,Tell me about a time you learned a new tool quickly.,"In my previous project, I had to quickly work with a new tool (Power BI / Python library / SQL feature depending on context). I started by going through official documentation and small tutorials, then practiced with sample data. Within a short time, I was able to apply it to a real business problem and deliver the required output. This helped me learn the tool efficiently while ensuring I met project deadlines.",4,"The answer follows a generic STAR-like structure but lacks any specific details. The candidate explicitly mentions multiple tool options in parentheses, indicating this is a template response rather than a genuine experience. There is no actual tool named, no real project context, and no concrete outcome mentioned.","Specific tool name and version, actual project context and business problem, concrete timeline of learning, specific challenges faced during the learning process, measurable outcome or impact delivered, personal learning strategies beyond documentation and tutorials","Replace the placeholder text with a real experience. Name the actual tool you learned (e.g., Tableau, Pandas, Power Query). Describe the specific business problem, how long it took you to learn it, what challenges you faced, and what the final deliverable was. For example: 'During my college project, I had to use Pandas for data cleaning within 3 days. I followed the official docs, watched 2 YouTube tutorials, and practiced on a Kaggle dataset. I was able to clean a 10,000-row dataset and generate insights that formed the basis of my project report.' Authenticity and specificity are key.","During my final year project, I had to use Python's Pandas library for data cleaning and analysis, which I had never used before. I had about a week before the submission deadline. I started by reading the official Pandas documentation and completed a beginner tutorial on YouTube. I then practiced with a sample dataset from Kaggle to get hands-on experience. Within three days, I was comfortable enough to apply it to my actual project dataset of 5,000 customer records. I handled missing values, performed groupby aggregations, and visualized trends using Matplotlib. The project was submitted on time and received positive feedback from my professor. This experience taught me that structured learning combined with immediate hands-on practice is the fastest way for me to pick up a new tool.",2026-06-14T02:02:42
