question_id,category,experience_level,question
SQL001,SQL,Fresher,What is the difference between WHERE and HAVING clauses in SQL?
SQL002,SQL,Fresher,Write a query to find the second highest salary from an Employee table.
SQL003,SQL,Fresher,"What is the difference between DELETE, TRUNCATE, and DROP?"
SQL004,SQL,Fresher,What is a primary key and how is it different from a unique key?
SQL005,SQL,Fresher,What is a foreign key and what purpose does it serve?
SQL006,SQL,Fresher,Explain the difference between INNER JOIN and LEFT JOIN.
SQL007,SQL,Fresher,What is the difference between CHAR and VARCHAR data types?
SQL008,SQL,Fresher,What does the DISTINCT keyword do? Give an example.
SQL009,SQL,Fresher,What is the difference between GROUP BY and ORDER BY?
SQL010,SQL,Fresher,Write a query to count the number of employees in each department.
SQL011,SQL,Fresher,What are aggregate functions? Name five of them.
SQL012,SQL,Fresher,What is the difference between UNION and UNION ALL?
SQL013,SQL,Fresher,What is a NULL value and how do you test for it in a WHERE clause?
SQL014,SQL,Fresher,Explain the LIKE operator and its wildcard characters.
SQL015,SQL,Fresher,What is the difference between IN and BETWEEN operators?
SQL016,SQL,Fresher,Write a query to fetch the top 5 highest paid employees.
SQL017,SQL,Fresher,What is the purpose of the GROUP BY clause?
SQL018,SQL,Fresher,How do you rename a column in the result set of a query?
SQL019,SQL,Fresher,What is the difference between COUNT(*) and COUNT(column_name)?
SQL020,SQL,Fresher,Write a query to find all employees whose name starts with the letter 'A'.
SQL021,SQL,Fresher,What is a subquery? Give a simple example.
SQL022,SQL,Fresher,What does the ORDER BY clause do and what is the default sort order?
SQL023,SQL,Fresher,Explain the difference between DDL and DML commands.
SQL024,SQL,Fresher,What is the difference between a column alias and a table alias?
SQL025,SQL,Fresher,Write a query to display unique job titles from an Employee table.
SQL026,SQL,Fresher,How do you filter rows that contain NULL in a specific column?
SQL027,SQL,Fresher,What is the LIMIT (or TOP) clause used for?
SQL028,SQL,Fresher,Explain the difference between WHERE and ON in a JOIN.
SQL029,SQL,Fresher,What is the difference between a table and a view?
SQL030,SQL,Fresher,Write a query to find employees who earn more than the average salary.
SQL031,SQL,Fresher,What does the AS keyword do in SQL?
SQL032,SQL,Fresher,How do you concatenate two columns into a single output column?
